item_id,PC1,PC2,PC3,score,prompt_id
1,541.696370731414,46.183729339911324,-12.842498941146488,8.0,1
2,890.9690281807642,5.268062442128354,-5.184799064761545,9.0,1
3,280.8427273597989,68.34078887062184,-15.308197891984804,7.0,1
4,1624.4284244194937,-26.420795126002993,-68.72756535753258,10.0,1
5,1117.0975758187574,-101.32478893206098,-4.877604258850209,8.0,1
6,46.75948140213961,-36.997594166371165,6.265847536579823,8.0,1
7,1300.2783690099868,-117.2221314446853,-20.114372916117567,10.0,1
8,1223.6261270556543,-115.75804877832688,-13.863640399902348,10.0,1
9,957.1904273571646,-102.15887402215851,-5.387587749659666,9.0,1
10,1144.3849124884546,-57.216699213172795,19.23265610449236,9.0,1
11,638.01468259623,-85.739876793843,-64.11434753000134,8.0,1
12,806.8162415641935,-100.33375179708489,0.9630110768881348,8.0,1
13,-159.05198110546587,40.73699054853411,7.228482643397782,7.0,1
14,334.487597230676,-103.77928377415586,20.314881720444514,6.0,1
15,-173.39095645431337,-73.19442776017773,-3.468065302982474,6.0,1
16,1633.317867865254,-115.6114642007266,-62.22036652971697,12.0,1
17,474.1496538338166,-73.84513761850796,8.51027131781671,8.0,1
18,606.032465082374,50.02666651554466,6.197747671618237,8.0,1
19,-688.829461108885,-71.80781714364383,-3.192084525601281,4.0,1
20,-281.1603189319609,-68.43802771082608,-2.5529322287042397,6.0,1
21,700.754671448054,-91.34682747407246,-22.014294661595564,8.0,1
22,-723.6758667604834,-78.02277239427539,2.8410367822013107,3.0,1
23,1362.1352384902352,-81.65143351118351,-5.935514726150473,10.0,1
24,1612.0068823203455,-110.97364197417188,-27.565841240147307,11.0,1
25,390.71222906744936,-104.3185227805264,-4.2720019546716905,8.0,1
26,632.050514305921,-55.22391968504617,-2.4070497308840473,9.0,1
27,-461.4622390820838,-37.80205176281621,6.66342682505654,4.0,1
28,694.8932237066518,-66.76977092165762,-21.968326798321286,9.0,1
29,686.6780629157437,-59.2250592119719,-3.7585531301267423,9.0,1
30,176.59180479716372,-82.5755762925383,3.2807818644451405,8.0,1
31,1103.4928490146694,-81.1592184390882,-11.760080987413822,10.0,1
32,1250.5710699333554,-119.91381738543927,-13.069125293828378,10.0,1
33,-239.36283354437637,-49.31783199234912,-3.9768996759513264,6.0,1
34,522.4073455318397,-89.23658754453285,15.334760917209582,8.0,1
35,867.2229610665707,-77.23667318668413,-0.45972469148597916,9.0,1
36,1459.4197344355052,-48.27781106587689,-14.579728420298206,10.0,1
37,1173.7727584052122,-105.86855732684609,-12.721440518658994,12.0,1
38,545.9047653857159,-63.872147846357095,4.939985354525941,8.0,1
39,983.3506642686131,145.1607156730745,-3.419358850240055,10.0,1
40,-156.24630335353766,-33.32528473212608,-3.8066761218535348,7.0,1
41,-806.5364047532969,-63.23823757606186,5.331431419467146,2.0,1
42,227.41995888257077,-47.85171481388495,10.739679881416128,8.0,1
43,-348.99920223790343,-59.955115451623435,-2.817355671608066,6.0,1
44,329.4863175115207,-104.58832453060073,25.341941594002932,8.0,1
45,393.6243706171207,-83.64151231314644,7.671106914367534,8.0,1
46,357.602897406755,189.97347202454347,10.532373019482499,8.0,1
47,354.81921510655104,-64.21297449358474,1.5024588548216382,8.0,1
48,1307.8829825798198,-95.73840601739833,22.256925432436454,11.0,1
49,499.81880541761745,-106.53359293319187,-9.378967932775215,6.0,1
50,-588.9182852462603,39.60232783538159,-5.807599005267257,5.0,1
51,1286.1835303550101,228.5650442684572,67.05663752322121,9.0,1
52,102.8304686618884,-65.85384704523162,-9.570529386242743,7.0,1
53,795.6762663525498,-86.37579778190823,17.234493772965624,8.0,1
54,874.1424388534045,-64.1800521160494,-14.837536805402063,10.0,1
55,144.7441002832221,6.183615682360795,-10.59507911168841,8.0,1
56,1436.418242152292,-7.647352550292865,-81.60353151786511,10.0,1
57,435.87906758285214,-81.3605991051698,-29.296629211027877,9.0,1
58,-112.17954218878981,-65.8352006692701,-2.4167678430521864,7.0,1
59,1047.3115876039042,-17.39560464931418,-13.369644004396886,8.0,1
60,-650.2183262165204,-77.95197881650436,-3.87167567288963,4.0,1
61,392.8627173937142,-82.83550137191031,-9.601413992076349,8.0,1
62,234.89585009363543,-72.90161894172351,11.065630089836937,8.0,1
63,315.9527380249707,-56.88980273968778,5.869045439386115,8.0,1
64,-58.35021161386885,537.3486981542277,16.266892597059737,7.0,1
65,899.8215432529945,-98.15061610538423,-2.6758539496880545,9.0,1
66,755.7142742186808,-88.60531461139121,-24.826954596475936,9.0,1
67,347.0829345227452,-64.94903216188689,-0.36748840699859997,8.0,1
68,818.3540340872229,-106.42281385681471,-30.30668773267164,9.0,1
69,21.288307535639206,-43.40273552550893,8.174483781255532,7.0,1
70,1085.500613400247,-85.58356830392243,-48.92313327784363,12.0,1
71,979.37835863416,5.835869324438221,7.24839635649868,10.0,1
72,1680.0641514615031,-95.65787497506899,-61.87485593546786,10.0,1
73,758.8086824085154,-4.818014368979121,-14.278410275525317,8.0,1
74,344.4443455610482,-97.24866145544537,3.175099965607842,7.0,1
75,711.2419526726188,-103.15812509829135,-37.17350471168417,8.0,1
76,460.78188363196125,-70.93528569392083,-19.816250274394072,8.0,1
77,1470.4183193932072,-142.34554074825422,-24.970881681537342,10.0,1
78,914.4687123799446,-86.89592454847961,3.102663029828445,10.0,1
79,661.3482409442778,49.68740669583893,16.499732850419463,10.0,1
80,931.3131285675055,-88.15340897155134,-33.878332863079486,8.0,1
81,571.3884337430235,-61.15049008861764,17.94792402780449,8.0,1
82,380.4148456837212,-105.27527813596609,-21.917745828446016,8.0,1
83,-95.91446076440445,-46.404284950564154,4.694109087544954,7.0,1
84,-177.43265300307007,11.861575372189833,27.596321434605727,6.0,1
85,1481.8670376052723,-121.34561919841373,1.9592380435402283,10.0,1
86,1106.5329092592528,-106.16306167982677,-51.36003087130109,8.0,1
87,895.6701303412705,-106.90196912329205,-23.173749263585755,10.0,1
88,830.2538506997599,-52.551430916791084,32.98702120180741,9.0,1
89,38.749496026087286,-104.64018535993222,8.530812308713124,6.0,1
90,28.577642319374604,277.8900503633175,1.4635980259313914,7.0,1
91,67.07515817928982,40.66606680868159,2.660168390875306,8.0,1
92,1815.067919705944,-66.80731510123988,13.1014059160125,11.0,1
93,1675.3789043076868,-97.71014060633107,-78.52582333345718,11.0,1
94,375.85338754719226,-58.56407826539642,6.633869432558088,8.0,1
95,1000.5442672164228,-104.48174165986096,1.5351169412465904,10.0,1
96,58.69746794845116,-45.69606963302682,-10.97784243111467,7.0,1
97,390.66566394805443,-68.3899079664072,-28.08230991008248,8.0,1
98,940.7107207889782,-115.61207454218669,-37.91415806551987,11.0,1
99,553.4680000839479,-74.52152610017752,-18.077013422082253,8.0,1
100,-39.39380243439609,-49.8095592072945,16.214875034754627,7.0,1
101,1153.4316083206932,-116.41886480672409,-20.598606678350436,10.0,1
102,473.13515009557284,-103.39714695740764,8.070418944596428,8.0,1
103,732.0908930106303,-0.3341741017371902,3.867682406578041,9.0,1
104,856.9527670277822,-9.430582791919647,0.5065016126342066,10.0,1
105,1303.4939785716397,-92.98794202656008,32.378733538226165,9.0,1
106,742.9521194915352,-113.5615050125912,-49.55280409662327,11.0,1
107,2020.7713419121242,-152.7450798716141,-31.87047569506027,10.0,1
108,609.7824892434702,-41.50843869698551,-2.470261126648369,8.0,1
109,473.9748582174599,-53.59226255316354,31.93678305124773,8.0,1
110,45.832756181508216,-36.63581587422296,2.9061295704530625,6.0,1
111,1640.7203545048633,-121.49247719017134,-48.738674171041644,11.0,1
