Essay_ID,Kincaid_Grade_Level,Coleman_Liau_Index,SMOG_Index,Dale_Chall_Index,Sentences_per_Paragraph,Type_Token_Ratio,Total_Characters,Total_Paragraphs,Total_ToBe_Verbs,Total_Auxiliary_Verbs,Total_Conjunctions,Total_Pronouns,Total_Nominalizations,Total_Pronoun_Starters,Total_Interrogative_Starters,Total_Article_Starters,Total_Subordinate_Starters,Total_Conjunction_Starters,Total_Preposition_Starters
1.0,0.4736113599391643,0.4174571542720156,0.5498414147691576,0.2450010589329024,0.2428571428571428,0.3203685170206057,0.3988375311375588,0.0,0.2040816326530612,0.1428571428571428,0.3181818181818182,0.391304347826087,0.073170731707317,0.08,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0
2.0,0.5825816717038897,0.4417776776410468,0.6988362419217079,0.3681787437929685,0.2857142857142857,0.2976752040529131,0.4918350401328535,0.0,0.1632653061224489,0.5714285714285714,0.4090909090909091,0.4521739130434782,0.2195121951219512,0.16,0.1428571428571428,0.1818181818181818,0.1111111111111111,0.0,0.0
3.0,0.4452812739196409,0.4246574012742045,0.636807078960303,0.3808365707765634,0.2142857142857142,0.389642653996721,0.3277055078881816,0.0,0.2244897959183673,0.1428571428571428,0.3636363636363636,0.2,0.024390243902439,0.04,0.1428571428571428,0.0909090909090909,0.1111111111111111,0.1,0.0833333333333333
4.0,0.5621329511384145,0.7039875703203866,0.7233642332556183,0.5526662368070331,0.3857142857142857,0.2807334710743802,0.6850262939385552,0.0,0.4489795918367347,0.5357142857142857,0.3863636363636363,0.3130434782608696,0.3902439024390244,0.04,0.2857142857142857,0.3636363636363636,0.2222222222222222,0.0,0.25
5.0,0.4432140426715314,0.4214048124312684,0.6250581368309708,0.2018250244632482,0.4142857142857143,0.2497487033090748,0.5563243841682812,0.0,0.5102040816326531,0.8571428571428571,0.3409090909090909,0.3130434782608696,0.2682926829268293,0.28,0.0,0.6363636363636364,0.4444444444444444,0.0,0.3333333333333333
6.0,0.3570025968516157,0.2569817793602555,0.5485180881459205,0.1074778217533679,0.2142857142857142,0.3687987912364643,0.2640464987544976,0.0,0.1428571428571428,0.1785714285714285,0.2045454545454545,0.3478260869565217,0.0975609756097561,0.08,0.1428571428571428,0.0,0.1111111111111111,0.0,0.1666666666666666
7.0,0.4955950525347533,0.4568493018562248,0.6361219716302037,0.3220910817041921,0.4142857142857143,0.2724510529124804,0.6039302518682536,0.0,0.3877551020408163,0.6785714285714286,0.3636363636363636,0.6,0.1219512195121951,0.08,0.1428571428571428,0.1818181818181818,0.0,0.0,0.5
8.0,0.3203737570687832,0.3847963038779582,0.5231663608689893,0.2356001192051451,0.5428571428571428,0.2499498610434633,0.5873235538333794,0.0,0.3673469387755102,0.2857142857142857,0.4318181818181818,0.5304347826086957,0.3658536585365853,0.48,0.2857142857142857,0.5454545454545454,0.2222222222222222,0.0,0.0833333333333333
9.0,0.3265079139701231,0.284340181206708,0.5129550892505501,0.2644493543603001,0.4857142857142857,0.3206108069058662,0.51120952117354,0.0,0.2653061224489796,0.4285714285714285,0.5,0.3652173913043478,0.1707317073170731,0.16,0.1428571428571428,0.2727272727272727,0.0,0.4,0.5
10.0,0.4439545901922327,0.2632413696793795,0.55308534506589,0.1987724906849132,0.3571428571428571,0.229069277163651,0.5604760586769997,0.0,0.4489795918367347,0.1785714285714285,0.5681818181818182,0.5130434782608696,0.0975609756097561,0.28,0.0,0.4545454545454545,0.0,0.0,0.1666666666666666
